"Titles","Abstracts","Sector"
"… FOR BIG DATA, INTELLIGENTIZATION, MOBILE INTERNET AND CLOUD COMPUTING AND AN APPLICATION EXAMPLE FOR INTELLIGENT AGRICULTURE …","… A TECHNICAL SUMMARY FOR BIG DATA,INTELLIGENTIZATION,MOBILE INTERNET
AND CLOUD COMPUTING AND AN APPLICATION EXAMPLE FOR INTELLIGENTAGRICULTURE MACHINERY. Ma Jianbin;Teng Guifa … 
","Agriculture, forestry and fishing"
"Big-Data-Augmented Approach to Emerging Technologies Identification: Case of Agriculture and Food Sector","… and shortcomings of currently available studies on emerging technologies in agriculture and
food … The opportunities of the new big-data-augmented methodology are shown in comparison
to … with special attention to use of bigger volumes of data, machine learning and ontology … 
","Agriculture, forestry and fishing"
"What is cyber-physical system driven agriculture?-Redesign of big data for outstanding farmer management","… Theoretically, precision agriculture tools coupled with innovative data- mining procedures and
predictive models based on artificial intelligence, will be able to deliver personalized
recommendations at an appropriate spatial scale, so that agricultural productivity … 
","Agriculture, forestry and fishing"
"Productivity improvement in agriculture sector using big data tools","… Data of various benefits and polices provided by government from ministry of agriculture … second
part we implement prediction function for establish forecast data through kYmeans … 2017
International Conference On Big Data Analytics and computational Intelligence (ICBDACI) … 
","Agriculture, forestry and fishing"
"Processing of Big Data in Internet of Things and Precision Agriculture.","The main focus of the paper is the analysis of various types of agriculture data and open source
operational databases and platforms for data collection and data warehousing suitable for storing
data obtained from the Internet of Things and Precision Agriculture. The methodical approach … 
","Agriculture, forestry and fishing"
"Visualisation of Big Data in Agriculture and Rural Development","… There is also plan to implement a graphical user interface to allow user to add his/her
own data without a need of coding. 6.2 Developed applications 3D visualisation is bringing
new potential into analysis of Big data in the field of agriculture … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Big Data and Opportunities for Agriculture and Food Industry","… Predictive models developed using Big Data identify best management practices for achieving
the best … machine learning algorithms and rooted in comprehensive and reliable data- sets, provide …
recent decades, farmers have been intro- duced to precision agriculture, which is a … 
","Agriculture, forestry and fishing"
"Can'big data'step-change agriculture?","… Can 'big data' step-change agriculture? View/Open … Abstract. A major collaborative project is
underway, as part of the Rural R&D for Profit programme, to investigate the potential for farmers
from big data and precision agriculture. Please use this identifier to cite or link to this item … 
","Agriculture, forestry and fishing"
"A Big Data Virtualization Role in Agriculture: A Comprehensive Review","… Page 11. A Big Data Virtualization Role in Agriculture … Fuzzy reasoning provides
uncertainty in both data and output. • Machine learning: It is another artificial intelligence
technique that allows both supervised and unsupervised methods … 
","Agriculture, forestry and fishing"
"[CITATION][C] Analysis of agriculture data using data mining techniques: application of big data","… in the food and agriculture sectors: an analysis of the current models and results of a novel approach using machine learning techniques with retail scanner data","Agriculture, forestry and fishing"
"Agriculture commodities production and consumption are typically not aligned since the timing of commodity production with its pace of consumption is disjoint, once commodities are often produced periodically (with certain crops being harvested once a year) but with a …","[CITATION][C] Confronting the challenges of big data for precision agriculture","Agriculture, forestry and fishing"
"[CITATION][C] Big Data in Agriculture and Their Analyses","[CITATION][C] Big data & precision agriculture","Agriculture, forestry and fishing"
